Nombre;Direccion;Sector;Web;
ASOCIACI√ìN CLUSTER DE AUTOMOCI√ìN DE ARAG√ìN; PASEO ISABEL LA CATÓLICA, 2, 50009, ZARAGOZA, ZARAGOZA ;Automoci√≥n;http://www.caaragon.com;
ASOCIACION CLUSTER DE ENVASE Y EMBALAJE DE LA COMUNIDAD VALENCIANA; C/RONDA NARCISO MONTURIL Y ESTARRIOL, NÚM. 4 OFICINA 101A, 46980, PATERNA, VALENCIA/VALÈNCIA ;Maquinaria y Tecnolog√≠a Industrial;http://www.clusterenvase.com;
ASOCIACI√ìN CLUSTER DE IMPRESI√ìN FUNCIONAL Y ADITIVA; PARQUE TOMAS CABALLERO 2, EDIFICIO FUERTE DEL PRINCIPE I, 6º PLANTA OF. 1, 31006, PAMPLONA, NAVARRA ;Maquinaria y Tecnolog√≠a Industrial;http://www.functionalprint.com;
ASOCIACI√ìN CLUSTER DE INDUSTRIAS DE MEDIO AMBIENTE DE EUSKADI; PASEO DE URIBITARTE, 3 - 3º, 48001, BILBAO, BIZKAIA ;Medioambiente y Energ√≠a;http://www.aclima.eus;
ASOCIACION CLUSTER DE LA ENERGIA DE ARAGON; CALLE MARIA DE LUNA 11 - EDIFICIO CEEI NAVE 6, 50018, ZARAGOZA, ZARAGOZA ;Medioambiente y Energ√≠a;http://www.clenar.com;
ASOCIACI√ìN CLUSTER DE LA SALUD DE ARAG√ìN; CALLE MARÍA DE LUNA 11, CEEI NAVE 6, 50018, ZARAGOZA, ZARAGOZA ;Biotecnolog√≠a y Salud;http://www.arahealth.com;
ASOCIACI√ìN CL√öSTER DE MOVILIDAD Y LOG√çSTICA DE EUSKADI; AVENIDA TOLOSA Nº 75, 1º, 20018, DONOSTIA-SAN SEBASTIÁN, GIPUZKOA ;Log√≠stica;http://www.mlcluster.com;
ASOCIACION CLUSTER DEL NAVAL GALLEGO; PLAZA DE COMPOSTELA Nº 19, 3º IZQUIERDA, 36201, VIGO, PONTEVEDRA ;Naval;-;
ASOCIACION CLUSTER DEL SECTOR DEL HABITAT, MADERA, OFICINA Y CONTRACT; Araba Kalea Nº 25, 20800, Zarautz, GIPUZKOA ;H√°bitat;-;
ASOCIACI√ìN CLUSTER FOOD+I;" POLÍG. TEJERÍAS NORTE; C/ LOS HUERTOS, 2, 26500, CALAHORRA, LA RIOJA "; C/ LOS HUERTOS, 2, 26500, CALAHORRA, LA RIOJA;Agroalimentario;941639500
ASOCIACION CLUSTER GRANADA PLAZA TECNOLOGICA Y BIOTECNOLOGICA; C/. MAESTRO MONTERO, 23, 18004, GRANADA, GRANADA ;TIC;http://www.ongranada.com;
ASOCIACION DE ABASTECIMIENTOS DE AGUA Y SANEAMIENTOS DE ANDALUCIA; C/ BALBINO MARRON, Nº 6 EDIFICIO VIAPOL PORTAL A PLANTA 4 MOD. 4, 41018, SEVILLA, SEVILLA ;Medioambiente y Energ√≠a;http://www.asa-andalucia.es;
ASOCIACION DE EMPRESAS DE CONFECCION Y MODA DE LA COMUNIDAD DE MADRID; C/ ALVAREZ DE BAENA, 7, 28006, MADRID, MADRID ;Textil y calzado;http://asecom.org;
ASOCIACION DE EMPRESAS DEL SECTOR AEROESPACIAL DE ANDALUC√çA H√âLICE; INGENIERO RAFAEL RUBIO ELOLA 1, 2º M.2.4. OESTE, 41309, LA RINCONADA, SEVILLA ;Aeron√°utico;http://www.andaluciaaerospace.com;
ASOCIACION DE INDUSTRIAS DE CONOCIMIENTO Y TECNOLOGIA -GAIA- EUSKAL HERRIKO EZAGUTZA ETA TEKNOLOGIA INDUSTRIEN ELKARTEA; PORTUETXE BIDEA, 14 1A EDIFICIO IBAETA , 20018, SAN SEBASTIAN, GIPUZKOA ;TIC;http://www.gaia.es;
ASOCIACI√ìN DE INVESTIGACI√ìN DE INDUSTRIAS C√ÅRNICAS DEL PRINCIPADO DE ASTURIAS; POL. IND. LA BARREDA, TL4, PARCELA 1, 33180, NOREÑA, ASTURIAS ;Agroalimentario;http://www.asincar.com;
ASOCIACION DE LA INDUSTRIA ALIMENTARIA DE CASTILLA Y LEON; AVDA. FRANCISCO VALLÉS 8, 1º, OFICINA 22. PARQUE TECNOLÓGICO DE BOECILLO, 47151, BOECILLO, VALLADOLID ;Agroalimentario;http://www.vitartis.es;
ASOCIACI√ìN DE LA INDUSTRIA NAVARRA; Carretera Pamplona, Km. 1 - Cordovilla, 31191, Galar, NAVARRA ;Maquinaria y Tecnolog√≠a Industrial;-;
ASOCIACI√ìN DE PROMOCI√ìN E INVESTIGACI√ìN CLUSTER DE ENERG√çA; CALLE S. VICENTE, 8. EDIFICIO ALBIA II - 4ª PLTA DPTO. B. DCHA. , 48001, BILBAO, BIZKAIA ;Medioambiente y Energ√≠a;http://www.clusterenergia.com;
ASOCIACION EMPRESARIAL INNOVADORA DE FABRICANTES DE MUEBLES Y AFINES DE LA REGI√ìN DE MURCIA; C/ PERALES S/N, 30510, YECLA, MURCIA ;H√°bitat;http://www.amueblacooperacion.es;
ASOCIACI√ìN EMPRESARIAL MULTISECTORIAL INNOVADORA PARA LAS CIUDADES INTELIGENTES; CL SEVERO OCHOA 4, 4 PLANTA, 29590, MÁLAGA, MÁLAGA ;TIC;http://www.andaluciasmartcity.com;
ASOCIACI√ìN ESPA√ëOLA DE FABRICANTES DE M√ÅQUINAS HERRAMIENTA, SUS ACCESORIOS, COMPONENTES Y HERRAMIENTAS DE CORTE Y DEFORMACI√ìN, Y OTROS SISTEMAS Y TECNOLOG√çAS DE FABRICACI√ìN; PASEO MIKELETEGI 59, 20009, SAN SEBASTIAN, GIPUZKOA ;Maquinaria y Tecnolog√≠a Industrial;http://www.afm.es;
ASOCIACI√ìN ESPA√ëOLA DE FABRICANTES EXPORTADORES DE MAQUINARIA PARA CONSTRUCCI√ìN, OBRAS P√öBLICAS Y MINER√çA; PASEO DE LA INDEPENDENCIA, 24-26, PLANTA 3, OFICINA 4, 50004, ZARAGOZA, ZARAGOZA ;Maquinaria y Tecnolog√≠a Industrial;http://www.anmopyc.es;
ASOCIACI√ìN ESPA√ëOLA PARA LA INTERNACIONALIZACI√ìN Y LA INNOVACI√ìN DE LAS EMPRESAS SOLARES; GRAN VIA CORTS CATALANES 774 4, 08013, BARCELONA, BARCELONA ;Medioambiente y Energ√≠a;http://www.solartys.org;
ASOCIACI√ìN IB√âRICA DE GAS NATURAL, HIDR√ìGENO Y GAS RENOVABLE PARA LA MOVILIDAD; Avenida de Europa 10, oficina 1 CEXCO, 28821, COSLADA, MADRID ;Medioambiente y Energ√≠a;http://www.gasnam.es;
ASOCIACION INSTITUTO TECNOLOGICO HOTELERO; CALLE ORENSE, 32, 28020, MADRID, MADRID ;Turismo;http://www.ithotelero.com;
ASOCIACION LOGISTICA INNOVADORA DE ARAGON; CALLE MARÍA DE LUNA 11, NAVE 6, 50018, ZARAGOZA, ZARAGOZA ;Log√≠stica;http://www.aliaragon.es;
ASOCIACI√ìN POLO DEL ACERO; C/ CALAFATES, PARCELA L-3.4. PARQUE EMPRESARIAL PEPA, 33417, AVILÉS, ASTURIAS ;Materiales;http://www.polodelacero.com;
ASOCIACON CLUSTER DE LA ENERGIA DE LA COMUNITAT VALENCIANA; AVDA JUAN DE LA CIERVA, 24, 46980, PATERNA, VALENCIA/VALÈNCIA ;Medioambiente y Energ√≠a;http://www.clusterenergiacv.com;
ASS. CLUSTER SALUT MENTAL DE CATALUNYA; PASSEIG PRESIDENT JOSEP TARRADELLAS, 25, 08830, SANT BOI DE LLOBREGAT, BARCELONA ;Biotecnolog√≠a y Salud;http://www.clustersalutmental.com;
ASSOCIACI√ì AEI INNOVI; CENTRE ÀGORA, PLAÇA ÀGORA NÚM. 1 (POLÍGON INDUSTRIAL DOMENYS II), 08720, VILAFRANCA DEL PENEDÈS, BARCELONA ;Agroalimentario;http://www.innovi.cat;
ASSOCIACI√ì CLUSTER DE PRODUCTES INFANTILS DE CATALUNYA; C/ PERÚ, 186, 08020, BARCELONA, BARCELONA ;Infancia y Juguete;http://www.kids-cluster.com;
ASSOCIACI√ì CL√öSTER DEL PACKAGING; AVINGUDA CAN BORDOLL 119, DESPATX 3, 08202, SABADELL, BARCELONA ;Log√≠stica;http://www.packagingcluster.com;
ASSOCIACI√ì CLUSTER DIGITAL DE CATALUNYA; BILBAO 72 , 08005, BARCELONA, BARCELONA ;TIC;http://www.clusterdigital.cat;
ASSOCIACI√ì CLUSTER HABITAT DE CATALUNYA; MILÀ I FONTANALS. 14 -26 PISO 1-6, 08012, BARCELONA, BARCELONA ;H√°bitat;http://www.hcb.cat;
CENTRO DE INNOVACI√ìN TECNOL√ìGICA PARA LA LOGISTICA Y EL TRANSPORTE DE MERCANC√çAS POR CARRETERA; AVENIDA DE EUROPA 10, 28821, COSLADA, MADRID ;Log√≠stica;http://www.citet.es;
CENTRO ESPA√ëOL DE PL√ÅSTICOS; CALLE ENRIC GRANADOS, 101, 08008, BARCELONA, BARCELONA ;Materiales;http://www.cep-plasticos.com;
CLUSTER CALZADO INNOVACION; PLAZA ROQUE CALPENA 1. PLANTA 4. EDIFICIO FICIA, 03600, ELDA, ALICANTE/ALACANT ;Textil y calzado;http://www.clustercalzado.es;
CLUSTER DE BIENES DE EQUIPO DE CASTILLA Y LEON; CALLE JACINTO BENAVENTE, 2 CUARTA PLANTA, 47195, ARROYO DE LA ENCOMIENDA, VALLADOLID ;Maquinaria y Tecnolog√≠a Industrial;http://www.cbecyl.com;
CLUSTER DE EMPRESAS DE TECNOLOG√çAS DE LA INFORMACI√ìN, ELECTR√ìNICA Y TELECOMUNICACIONES DE ARAG√ìN; CALLE MARÍA DE LUNA,11, CEEI ARAGÓN - NAVE 6, 50018, ZARAGOZA, ZARAGOZA ;TIC;http://www.tecnara.es;
CLUSTER DE FABRICACION AVANZADA DE LA INDUSTRIA DEL METAL DE ASTURIAS; MARQUES DE SAN ESTEBAN 1, 7º A, 33206, GIJON, ASTURIAS ;Materiales;http://www.metaindustry4.com;
CL√öSTER DE H√ÅBITAT EFICIENTE; VALLE DE ARÁN , 5 (EDIFICIO FRANCISCO DE PRAVES), 47010, VALLADOLID, VALLADOLID ;Medioambiente y Energ√≠a;http://www.aeice.org;
CLUSTER DE LA MAQUINARIA AGRICOLA DE ARAGON; CALLE SANTANDER Nº 36 - 2ª PLANTA, 50010, ZARAGOZA, ZARAGOZA ;Maquinaria y Tecnolog√≠a Industrial;-;
CLUSTER DE LA MAQUINARIA I DELS MEDIS DE PRODUCCIO AGRICOLA DE CATALUNYA; PARQUE DE GARDENY S/Nº EDIFICIO H-3 PLANTA BAJA , 25003, LLEIDA, LLEIDA ;Maquinaria y Tecnolog√≠a Industrial;http://www.femac.org;
CL√öSTER DE LAS TECNOLOG√çAS INTELIGENTES PARA LAS CIUDADES, LOS EDIFICIOS Y LA INDUSTRIA; GRAN VIA DE LES CORTS CATALANES 774, 4ª, 08013, BARCELONA, BARCELONA ;TIC;http://www.smartechcluster.org;
CLUSTER EMPRESAS INNOVADORAS DEL VALLE DEL JUGUETE; AVDA DE LA INDUSTRIA, Nº 23 (SEDE AIJU), 03440, IBI, ALICANTE/ALACANT ;Infancia y Juguete;http://nwww.clustervalle.es;
CLUSTER ESPA√ëOL DE PRODUCTORES DE GANADO PORCINO; CALLE MARIA DE LUNA 11, 50018, ZARAGOZA, ZARAGOZA ;Agroalimentario;http://www.imasporc.com;
CLUSTER INTERNACIONAL DE TECNOLOGIAS DE LA INFORMACI√ìN Y LA COMUNICACI√ìN APLICADAS AL TURISMO; PARCBIT, C/ ISAAC NEWTON, PB, A6 EDIFICIO DISSET, 07121, PALMA DE MALLORCA, ILLES BALEARS ;Turismo;http://www.turistec.org;
CLUSTER SOLUCIONES INNOVADORAS PARA LA VIDA INDEPENDIENTE; Calle Jacinto Benavente 2, 47195, Arroyo de la Encomienda, VALLADOLID ;Biotecnolog√≠a y Salud;-;
FEELING INNOVATION BY STANPA, ASOCIACION PARA LA INNOVACION EN PERFUME,COSMETICA Y CUIDADO PERSONAL; PLAZA SANTA BARBARA 3, 28004, MADRID, MADRID ;Biotecnolog√≠a y Salud;http://www.feelinginnovation.com;
FORO DE AUTOMOCION DE CASTILLA Y LEON; PARQUE TECNOLOGICO DE BOECILLO, PARCELA 209, 47151, BOECILLO, VALLADOLID ;Automoci√≥n;http://www.facyl.es;
FORO MARITIMO VASCO; C/BUENOS AIRES, 2   1º IZDA, 48001, BILBAO, BIZKAIA ;Naval;http://www.foromaritimovasco.com;
FUNDACI√ìN CLUSTER DE EMPRESAS DE AUTOMOCI√ìN DE GALICIA; AVDA. DE CITROËN 3 Y 5 , EDIFICIO ZONA FRANCA, 1ª PLANTA , 36210, VIGO, PONTEVEDRA ;Automoci√≥n;http://www.ceaga.com;
FUNDACION PARA EL DESARROLLO DE LAS NUEVAS TECNOLOGIAS DEL HIDROGENO EN ARAGON; PARQUE TECNOLÓGICO WALQA, CTRA ZARAGOZA N-330A, 22197, CUARTE, HUESCA ;Medioambiente y Energ√≠a;http://www.hidrogenoaragon.org;
INSTITUTO TECNOL√ìGICO METALMEC√ÅNICO, MUEBLE, MADERA, EMBALAJE Y AFINES; PARQUE TECNOLÓGICO. C/ BENJAMIN FRANKLIN, 13, 46980, PATERNA, VALENCIA/VALÈNCIA ;H√°bitat;http://www.aidimme.es;
SOUTHERN EUROPEAN CLUSTER IN PHOTONICS AND OPTICS; MILÀ I FONTANALS, 14-26 1º 6ª, 08012, BARCELONA, BARCELONA ;√ìptica;http://www.secpho.org;
